,PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeeks,StartTime,EndTime,DurationMins,EnjoymentScore,Calorie,Degree of concentration
0,S801,,Sleeping,2021/3/2,23,2,23:00,8:00,540,1,-400,
1,ED145,,Eating,2021/3/2,23,2,8:30,8:48,18,1,1200,
2,ED145,,Eating,2021/3/2,23,2,12:12,12:45,33,2,1500,
3,ED145,,Eating,2021/3/2,23,2,18:30,18:52,22,2,1200,
4,EL642,UD415,Online lecture,2021/3/2,23,2,9:15,10:15,60,1,-80,1.0
5,R523,,Reading lecture note,2021/3/2,23,2,10:20,10:50,30,1,-60,2.0
6,UD415,CW982,coursework of python,2021/3/2,23,2,11:00,12:00,60,-1,-80,1.0
7,S801,,Taking a nap,2021/3/2,23,2,12:50,13:40,50,2,-40,0.0
8,L418,,Watch TV show,2021/3/2,23,2,14:00,15:40,100,2,-50,2.0
9,X893,,Swimming,2021/3/2,23,2,16:00,17:20,80,2,-1500,1.0
10,CW982,,Course work of python ,2021/3/2,23,2,19:00,21:45,165,1,-150,1.0
11,S801,,Sleeping,2021/3/6,23,6,0:12,8:20,488,2,-300,
12,ED145,,Eating,2021/3/6,23,6,8:55,9:15,20,1,1200,
13,ED145,,Eating,2021/3/6,23,6,12:30,12:57,27,1,1800,
14,ED145,,Eating,2021/3/6,23,6,19:15,20:20,65,2,1400,
15,L418,,Play computer game,2021/3/6,23,6,9:30,11:30,120,2,-204,2.0
16,UD415,CW982,Course of Ml2,2021/3/6,23,6,13:50,15:10,80,0,-240,1.0
17,ED145,,Driink coffee ,2021/3/6,23,6,15:20,15:40,20,2,500,0.0
18,UD415,CW982,Course work of ML2,2021/3/6,23,6,16:00,18:20,140,-1,-240,1.0
19,X893,,joggong,2021/3/6,23,6,20:50,22:00,70,1,-800,-1.0
20,O733,,Take a bath,2021/3/6,23,6,22:23,22:56,33,2,-100,0.0
21,R523,UD415,Read articles from a tech blog,2021/3/6,23,6,23:00,23:44,44,1,-80,2.0
22,S801,,Sleeping,2021/3/11,24,4,0:30,8:42,492,2,-300,
23,ED145,,Eating,2021/3/11,24,4,9:03,9:33,30,0,1500,
24,ED145,,Eating,2021/3/11,24,4,11:58,12:22,24,2,1200,
25,ED145,,Eating,2021/3/11,24,4,17:20,17:55,35,1,1600,
26,R523,UD415,Read textbook of RL,2021/3/11,24,4,10:02,11:30,88,1,-150,1.0
27,S801,,Take a nap,2021/3/11,24,4,13:12,13:56,44,1,-60,0.0
28,UD415,CW982,Course work of ML2,2021/3/11,24,4,14:20,16:45,145,1,-220,1.0
29,UD415,O733,Group meeting ,2021/3/11,24,4,18:15,19:00,45,1,-60,1.0
30,UD415,O733,Chat with friend ,2021/3/11,24,4,19:15,19:45,30,1,-40,2.0
31,X893,,Swimming,2021/3/11,24,4,20:18,21:25,67,2,-1750,1.0
32,ED145,,Eating KFC,2021/3/11,24,4,22:00,22:32,32,2,1600,0.0
